city_name,city_id,lat,lon,unix_dt,temp_max,humidity,cloudiness,windspeed
Elko,5703673,41.0,-115.5,1579824036,10.0,95,1,2.6
Vao,2137773,-22.67,167.48,1579823995,25.46,73,100,6.95
Nanortalik,3421765,60.14,-45.24,1579824017,-1.45,92,100,7.52
Tiksi,2015306,71.69,128.87,1579824036,-34.1,83,4,2.05
Kavieng,2094342,-2.57,150.8,1579824037,28.67,69,55,3.89
Bundaberg,2173323,-24.85,152.35,1579824007,28.89,83,75,1.5
Carnarvon,2074865,-24.87,113.63,1579823985,26.0,57,0,5.1
Bowen,2174444,-20.02,148.23,1579824037,31.11,70,40,0.5
Hilo,5855927,19.73,-155.09,1579823969,28.0,61,90,2.1
Albany,5106841,42.6,-73.97,1579824037,0.0,50,1,0.42
Nohar,1261234,29.18,74.77,1579824037,10.24,47,90,3.81
Caravelas,3466980,-17.71,-39.25,1579824037,26.46,84,100,12.8
Yellowknife,6185377,62.46,-114.35,1579824038,-20.0,83,75,3.6
Shingu,1847947,33.73,135.98,1579824038,11.0,93,75,1.5
Naifaru,1337616,5.44,73.37,1579824038,28.5,78,70,10.33
Ancud,3899695,-41.87,-73.82,1579824038,18.0,52,1,6.2
Linjiang,2036069,41.81,126.91,1579824038,-17.58,85,0,0.88
Muzaffarabad,1169607,34.37,73.47,1579824038,-2.2,42,0,5.09
Hithadhoo,1282256,-0.6,73.08,1579824038,28.7,78,14,5.63
Carahue,3896774,-38.7,-73.17,1579824039,20.0,64,13,5.1
Mindelo,3374462,16.89,-24.98,1579823833,19.81,77,31,4.31
Shimoda,1852357,34.67,138.95,1579824039,12.0,87,75,4.1
Kanniyakumari,1268008,8.08,77.57,1579824010,26.06,76,0,13.85
Tabou,2281120,4.42,-7.35,1579824039,25.71,91,42,1.3
Bredasdorp,1015776,-34.53,20.04,1579824039,20.0,77,79,4.6
Upernavik,3418910,72.79,-56.15,1579824039,-21.03,59,37,3.72
Saint-Philippe,935215,-21.36,55.77,1579823986,26.0,100,100,1.5
Poronaysk,2121909,49.22,143.12,1579824039,-13.36,94,100,3.71
Geraldton,2070998,-28.77,114.6,1579824040,20.0,72,0,4.6
Inverness,2646088,57.48,-4.22,1579824040,8.89,93,100,3.6
Waipawa,2206874,-41.41,175.52,1579823745,27.78,77,61,8.7
Port Elizabeth,964420,-33.92,25.57,1579823928,19.0,77,11,5.7
Porto-Novo,2392087,6.5,2.6,1579823745,28.0,88,20,3.1
Kwang Binh,1582886,17.48,106.6,1579824040,21.49,93,95,0.33
Kunashak,1501402,55.7,61.55,1579824040,-6.0,73,0,6.0
Ilheus,3461408,-14.79,-39.05,1579823817,26.0,94,90,4.52
Hambantota,1244926,6.12,81.12,1579824041,26.47,80,0,10.15
Port Hardy,6111862,50.7,-127.42,1579824041,10.0,87,75,3.6
Daru,2098329,-9.08,143.21,1579824041,31.28,61,92,2.0
Methoni,257122,36.82,21.7,1579824041,10.56,75,63,2.6
Ponta do Sol,2264557,32.67,-17.1,1579823841,15.0,58,20,3.1
Kirakira,2178753,-10.45,161.92,1579824041,29.8,65,0,2.46
Arrondissement de Nogent-le-Rotrou,2990271,48.33,1.0,1579824041,0.56,70,100,2.1
